1,1,"pb.com","{}",2013-01-01 00:00:00,
2,2,"mma.pb.com","{}",2013-01-01 00:00:00,
3,3,"beer.pb.com","{}",2013-01-01 00:00:00,
4,4,"cats.pb.com","{}",2013-01-01 00:00:00,
5,5,"beta.dimensionsoftware.com","{}",2013-01-01 00:00:00,
6,2,"staging.powerbulletin.com","{}",2013-01-01 00:00:00,
7,2,"mae.powerbulletin.com","{}",2013-01-01 00:00:00,
8,2,"beppu.powerbulletin.com","{}",2013-01-01 00:00:00,
9,2,"keith.powerbulletin.com","{}",2013-01-01 00:00:00,
10,6,"reef.powerbulletin.com","{}",2013-01-01 00:00:00,
11,7,"wwr.pb.com","{}",2013-01-01 00:00:00,
12,2,"mma.powerbulletin.com","{}",2013-01-01 00:00:00,
13,1,"powerbulletin.com","{}",2013-01-01 00:00:00,
14,7,"wwr.powerbulletin.com","{}",2013-01-01 00:00:00,
